Reservoir,Site,DateTime,Depth_m,TFe_mgL,TMn_mgL,SFe_mgL,SMn_mgL,Flag_DateTime,Flag_TFe,Flag_TMn,Flag_SFe,Flag_SMn
FCR,50,2014-05-19 12:00:00,9,0.09986,0.01125,0.09986,0.01125,1,0,0,0,0
FCR,50,2014-05-26 12:00:00,0.1,0.1936,0.00146,0.1936,0.00146,1,0,0,0,0
FCR,50,2014-05-26 12:00:00,0.8,0.2172,0.00081,0.2172,0.00081,1,0,3,0,3
FCR,50,2014-05-26 12:00:00,1.6,0.1862,0.00093,0.1862,0.00093,1,0,3,0,3
FCR,50,2014-05-26 12:00:00,2.8,0.218,0.00136,0.218,0.00136,1,0,0,0,0
FCR,50,2014-05-26 12:00:00,3.8,0.2441,0.00482,0.2441,0.00482,1,0,0,0,0
FCR,50,2014-05-26 12:00:00,5,0.1636,0.02474,0.1636,0.02474,1,0,0,0,0
FCR,50,2014-05-26 12:00:00,6.2,0.2393,0.06956,0.2393,0.06956,1,0,0,0,0
FCR,50,2014-05-26 12:00:00,8,0.1574,0.02835,0.1574,0.02835,1,0,0,0,0
FCR,50,2014-05-26 12:00:00,9,0.2535,0.08786,0.2535,0.08786,1,0,0,0,0
FCR,50,2014-06-02 12:00:00,0.1,0.349,0.01297,0.349,0.00792,1,0,0,0,0
FCR,50,2014-06-02 12:00:00,0.8,0.3913,0.0148,0.3828,0.00671,1,0,0,0,0
FCR,50,2014-06-02 12:00:00,1.6,0.3689,0.01375,0.3689,0.00516,1,0,0,0,0
FCR,50,2014-06-02 12:00:00,2.8,0.4582,0.02031,0.4397,0.00655,1,0,0,0,0
FCR,50,2014-06-02 12:00:00,3.8,0.4781,0.02593,0.4781,0.01604,1,0,0,0,0
FCR,50,2014-06-02 12:00:00,5,0.3886,0.2179,0.3886,0.21145,1,0,0,0,0
FCR,50,2014-06-02 12:00:00,6.2,0.4554,0.2063,0.4554,0.2063,1,0,0,0,0
FCR,50,2014-06-02 12:00:00,8,0.3877,0.219,0.3877,0.21866,1,0,0,0,0
FCR,50,2014-06-02 12:00:00,9,1.052,0.379,0.9773,0.35132,1,0,0,0,0
BVR,50,2014-06-04 12:00:00,0.1,0.2678,0.0224,0.2678,0.0224,1,0,0,0,0
BVR,50,2014-06-04 12:00:00,4,0.234,0.0574,0.234,0.0574,1,0,0,0,0
BVR,50,2014-06-04 12:00:00,8,0.2324,0.1451,0.2324,0.1416,1,0,0,0,0
BVR,50,2014-06-04 12:00:00,12,8.87,1.296,8.548,1.247,1,0,0,0,0
FCR,50,2014-06-09 12:00:00,0.1,0.2931,0.01036,0.2931,0.00595,1,0,0,0,0
FCR,50,2014-06-09 12:00:00,0.8,0.2858,0.0105,0.2858,0.0044,1,0,0,0,0
FCR,50,2014-06-09 12:00:00,1.6,0.2705,0.01042,0.2705,0.0042,1,0,0,0,0
FCR,50,2014-06-09 12:00:00,2.8,0.3589,0.01677,0.3589,0.00574,1,0,0,0,0
FCR,50,2014-06-09 12:00:00,3.8,0.3778,0.03085,0.3778,0.01752,1,0,0,0,0
FCR,50,2014-06-09 12:00:00,5,0.5333,0.376,0.5333,0.34527,1,0,0,0,0
FCR,50,2014-06-09 12:00:00,6.2,0.6603,0.3635,0.6212,0.32595,1,0,0,0,0
FCR,50,2014-06-09 12:00:00,8,1.188,1.12,1.188,1.10883,1,0,0,0,0
FCR,50,2014-06-09 12:00:00,9,0.6218,0.4868,0.6218,0.4868,1,0,0,0,0
